RLYCODE,DIVCODE,SECTION,LINE,FRACTURE_DATE,FRACTURE_TIME,RAIL_SECTION,ANNUAL_GMT,SPEED,LAYINGDATE,GMTCARRIED,ASSETTYPE,USFDCLASSIFICATION,USFDTESTDATE,LRRR,KM,METER,AXLELOAD,TRACK_TYPE,STRAIGHT_CURVE,SERVICE_LIFE,FRACTURE_DATE,LAYINGDATE,DURATION
CR,CSTM,PDI-PA,DN,2016-08-24-00.00.00,3:30,60KG,27.88,110,Dec-16,9.14,RAIL,GR,2016-08-06-00.00.00,RR,123,501,25,SWR,STRAIGHT,800,8/24/2016,12/1/2016,-99.00
SWR,SBC,SBC-ASK,DN,2016-12-25-00.00.00,2:47,60KG,7.96,110,Apr-17,3.98,RAIL,GR,2016-06-20-00.00.00,RR,34,630,22.9,LWR,STRAIGHT,800,12/25/2016,4/1/2017,-97.00
SWR,SBC,SBC-ASK,DN,2016-11-25-00.00.00,6:45,60KG,7.96,110,Mar-17,4.64,RAIL,GR,2016-06-21-00.00.00,LR,35,88,22.9,LWR,CURVE,800,11/25/2016,3/1/2017,-96.00
CR,PUNE,PDI-PA,DN,2016-01-29-00.00.00,4:45,60KG,27.88,110,May-16,38.48,RAIL,GR,2016-01-28-00.00.00,RR,137,805,25,LWR,STRAIGHT,800,1/29/2016,5/1/2016,-93.00
CR,CSTM,CSTM-VDLR,UP Harbour Line,2017-11-06-00.00.00,8:50,52KG,43.34,80,Feb-18,68.62,SEJ,GR,2017-10-06-00.00.00,LR,3,835,22.32,FP/SR,STRAIGHT,525,11/6/2017,2/1/2018,-87.00
CR,CSTM,KYN-MMR,DN,2017-03-09-00.00.00,12:06,60KG,27.41,130,Jun-17,5.89,RAIL,GR,2017-02-13-00.00.00,RR,123,355,22.32,LWR,CURVE,800,3/9/2017,6/1/2017,-84.00
SR,MAS,WJR - KPD,DN,2016-01-16-00.00.00,2:20,60KG,42.71,130,Apr-16,406,RAIL,GR,2015-12-24-00.00.00,RR,105,852,22.9,LWR,STRAIGHT,800,1/16/2016,4/1/2016,-76.00
ECR,SPJ,NKE-CPJ,SL,2020-06-19-00.00.00,11:30,60KG,16.78,110,Sep-20,14.81,SEJ,GR,2020-05-11-00.00.00,LR,269,500,22.32,LWR,STRAIGHT,800,6/19/2020,9/1/2020,-74.00
NCR,JHS,JHS GWL,UP,2015-11-19-00.00.00,6:08,60KG,61.78,130,Feb-16,102.74,RAIL,GR,2015-09-15-00.00.00,LR,1211,2315,22.32,LWR,CURVE,800,11/19/2015,2/1/2016,-74.00
ECOR,WAT,KRPU-KRDL,SL,2019-04-20-00.00.00,8:10,60KG,34.48,75,Jul-19,37.35,SEJ,GR,2019-04-04-00.00.00,LR,423,992,25,LWR,CURVE,800,4/20/2019,7/1/2019,-72.00
NWR,JU,MKN-DNA,UP,2019-02-21-00.00.00,5:50,52KG,,110,May-19,10.38,LWR,GR,2019-01-12-00.00.00,RR,69,984,22.32,LWR,STRAIGHT,525,2/21/2019,5/1/2019,-69.00
